"name","year","time","av_rating","director","country","genre1","genre2","rating","is_fav"
"Batman v Superman: Świt sprawiedliwości",2016,151,5.8,"Zack Snyder","USA","Akcja","Sci-Fi",3,FALSE
"Bezwstydny Mortdecai",2015,100,6.2,"David Koepp","USA","Komedia","Akcja",3,FALSE
"Legend",2015,131,7.1,"Brian Helgeland","Wielka Brytania","Biograficzny",NA,7,FALSE
"Piąty element",1997,126,7.4,"Luc Besson","Francja","Akcja","Sci-Fi",7,FALSE
"Planeta skarbów",2002,95,7.6,"John Musker","USA","Animacja","Familijny",10,TRUE
"Austin Powers 2 - Szpieg, który nie umiera nigdy",1999,95,5.7,"Jay Roach","USA","Komedia","Akcja",6,FALSE
"Oświadczyny po irlandzku",2010,100,6.7,"Anand Tucker","USA","Komedia rom.",NA,5,FALSE
"Nigdy cię tu nie było",2017,85,6.3,"Lynne Ramsay","USA","Dramat","Thriller",7,FALSE
"Ruby Sparks",2012,104,6.7,"Jonathan Dayton","USA","Fantasy","Komedia rom.",7,FALSE
"Good Night and Good Luck",2005,93,7.1,"George Clooney","USA","Dramat","Polityczny",6,FALSE
"Wściekłe pięści Węża",2006,59,7,"Bartosz Walaszek","Polska","Komedia","Akcja",8,FALSE
"Kapitan Bomba - Zemsta Faraona",2012,80,7.5,"Bartosz Walaszek","Polska","Komedia","Sci-Fi",10,TRUE
"Sarnie żniwo, czyli pokusa statuetkowego szlaku",2006,60,7.3,"Bartosz Walaszek","Polska","Komedia","Sensacyjny",10,FALSE
"Austin Powers: Agent specjalnej troski",1997,95,5.7,"Jay Roach","USA","Komedia","Akcja",7,FALSE
"Sala samobójców",2011,117,6.3,"Jan Komasa","Polska","Thriller","Romans",5,FALSE
"Locke",2013,85,7,"Steven Knight","USA","Dramat","Thriller",6,FALSE
"Co robimy w ukryciu",2014,86,7.2,"Jemaine Clement","Nowa Zelandia","Horror","Komedia",7,FALSE
"Hot Fuzz - Ostre psy",2007,121,7.1,"Edgar Wright","Wielka Brytania","Komedia kryminalna",NA,7,FALSE
"Bronson",2008,92,7.2,"Nicolas Winding Refn","Wielka Brytania","Biograficzny","Dramat",6,FALSE
"Pi",1998,85,7.4,"Darren Aronofsky","USA","Dramat","Thriller",9,TRUE
"Easy Rider",1969,94,7.4,"Dennis Hopper","USA","Dramat obyczajowy",NA,7,FALSE
"Candy",2006,116,7.4,"Neil Armfield","Australia","Dramat","Romans",7,FALSE
"Mutafukaz",2017,94,6.7,"Shôjirô Nishimi","Francja","Akcja","Sci-Fi",6,FALSE
"Prestiż",2006,130,8.1,"Christopher Nolan","USA","Dramat","Thriller",8,FALSE
"Le Mans '66",2019,152,7.9,"James Mangold","USA","Biograficzny","Dramat",8,TRUE
"Pacific Rim",2013,131,6.5,"Guillermo del Toro","USA","Akcja","Sci-Fi",6,FALSE
"Raport mniejszości",2002,145,7.3,"Steven Spielberg","USA","Thriller","Sci-Fi",8,FALSE
"Bolek i Lolek na Dzikim Zachodzie",1986,71,7.1,"Stanisław Dülz","Polska","Animacja","Dla dzieci",8,TRUE
"Lot nad kukułczym gniazdem",1975,133,8.5,"Miloš Forman","USA","Dramat","Psychologiczny",9,FALSE
"Przerwana lekcja muzyki",1999,127,7.9,"James Mangold","USA","Biograficzny","Dramat",8,FALSE
"Jesteś Bogiem",2012,124,6.7,"Leszek Dawid","Polska","Biograficzny","Dramat",8,TRUE
"Nerve",2016,96,6.8,"Henry Joost","USA","Thriller",NA,5,FALSE
"Bracia ze stali",2023,132,7.2,"Sean Durkin","USA","Biograficzny","Dramat",7,FALSE
"Lawrence z Arabii",1962,216,7.6,"David Lean","Wielka Brytania","Dramat","Przygodowy",9,FALSE
"American Beauty",1999,122,7.6,"Sam Mendes","USA","Dramat","Komedia",8,FALSE
"Zabójca",2023,119,6.2,"David Fincher","USA","Kryminał","Thriller",7,FALSE
"Blade: Wieczny łowca II",2002,117,6.9,"Guillermo del Toro","USA","Horror","Akcja",7,TRUE
"Blade - Wieczny łowca",1998,120,7,"Stephen Norrington","USA","Horror","Akcja",8,TRUE
