"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"American Psycho","2000","1h 41m","7,3","Mary Harron","USA","Dramat","Thriller"
"Chłopcy z ferajny","1990","2h 26m","8,3","Martin Scorsese","USA","Dramat","Gangsterski"
"Annie Hall","1977","1h 33m","7,7","Woody Allen","USA","Komedia obycz.","Najlepsze filmy #335"
"Informator","1999","2h 37m","7,4","Michael Mann","USA","Biograficzny","Dramat"
"Godzina zemsty","1999","1h 40m","7,4","Brian Helgeland","USA","Thriller","Top 1999 roku #26"
"Truposze nie umierają","2019","1h 43m","5,5","Jim Jarmusch","USA","Horror","Komedia"
"Król Lew","2019","1h 58m","7,3","Jon Favreau","USA","Animacja","Familijny"
"Stuber","2019","1h 33m","6,0","Michael Dowse","USA","Komedia","Akcja"
"Annabelle wraca do domu","2019","1h 46m","5,5","Gary Dauberman","USA","Horror",NA
"Midsommar. W biały dzień","2019","2h 27m","6,8","Ari Aster","USA","Horror","Top 2019 roku #47"
"Ja teraz kłamię","2019","1h 47m","5,1","Paweł Borowski","Polska","Sensacyjny","Thriller"
"Godzilla II: Król potworów","2019","2h 12m","5,6","Michael Dougherty","USA","Akcja","Sci-Fi"
"Zgniłe uszy","2019","1h","6,1","Piotr Dylewski","Polska","Dramat",NA
"X-Men: Mroczna Phoenix","2019","1h 54m","5,4","Simon Kinberg","USA","Akcja","Sci-Fi"
"Rocketman","2019","2h 1m","7,2","Dexter Fletcher","Wielka Brytania","Biograficzny","Dramat"
"Pokémon Detektyw Pikachu","2019","1h 44m","6,4","Rob Letterman","USA","Familijny","Akcja"
"After","2019","1h 40m","5,2","Jenny Gage","USA","Melodramat",NA
"Dumbo","2019","1h 52m","6,3","Tim Burton","USA","Fantasy","Familijny"
"Smętarz dla zwierzaków","2019","1h 41m","5,5","Kevin Kolsch","USA","Horror",NA
"Praziomek","2019","1h 35m","6,4","Chris Butler","Kanada","Animacja","Komedia"
"Niedobrani","2019","2h 5m","6,6","Jonathan Levine","USA","Komedia rom.","Top 2019 roku #62"
"Trzy kroki od siebie","2019","1h 56m","7,4","Justin Baldoni","USA","Melodramat","Top 2019 roku #25"
"Słodki koniec dnia","2019","1h 32m","6,3","Jacek Borcuch","Polska","Dramat",NA
"Avengers: Koniec gry","2019","3h 2m","8,0","Anthony Russo","USA","Akcja","Sci-Fi"
"Gloria Bell","2018","1h 42m","5,6","Sebastián Lelio","USA","Dramat","Komedia"
"Aladyn","2019","2h 8m","6,9","Guy Ritchie","USA","Musical","Przygodowy"
"Tylko nie mów nikomu","2019","2h 1m","7,9","Tomasz Sekielski","Polska","Dokumentalny","Najlepsze filmy #129"
"Ciemno, prawie noc","2019","1h 54m","4,7","Borys Lankosz","Polska","Kryminał","Thriller"
"Podły, okrutny, zły","2019","1h 48m","6,7","Joe Berlinger","USA","Biograficzny","Kryminał"
"Śmierć nadejdzie dziś 2","2019","1h 40m","5,8","Christopher Landon","USA","Horror","Komedia"
"Całe szczęście","2019","1h 49m","5,7","Tomasz Konecki","Polska","Komedia rom.",NA
"Szczęśliwy Lazzaro","2018","2h 5m","7,4","Alice Rohrwacher","Włochy","Dramat","Fantasy"
"Asteriks i Obeliks. Tajemnica magicznego wywaru","2018","1h 25m","7,0","Louis Clichy","Francja","Animacja","Familijny"
"Glass","2019","2h 9m","6,1","M. Night Shyamalan","USA","Thriller",NA
"Powrót Bena","2018","1h 43m","6,7","Peter Hedges","USA","Dramat","Top 2018 roku #91"
"Vice","2018","2h 12m","7,3","Adam McKay","USA","Biograficzny","Polityczny"
"Bumblebee","2018","1h 53m","6,5","Travis Knight","USA","Akcja","Sci-Fi"
"My!","2018","1h 40m","5,7","","","Dramat","Erotyczny"
"Jak wytresować smoka 3","2019","1h 44m","7,5","Dean DeBlois","USA","Animacja","Familijny"
"Alita: Battle Angel","2019","2h 2m","7,1","Robert Rodriguez","USA","Akcja","Sci-Fi"
"LEGO® PRZYGODA 2","2019","1h 46m","6,5","Mike Mitchell","USA","Animacja","Komedia"
"Faworyta","2018","1h 59m","7,5","Yórgos Lánthimos","USA","Biograficzny","Historyczny"
"Mirai","2018","1h 40m","6,8","Mamoru Hosoda","Japonia","Dramat","Przygodowy"
"Planeta Singli 3","2019","1h 43m","6,0","Sam Akina","Polska","Komedia rom.",NA
"Miszmasz czyli Kogel Mogel 3","2019","1h 34m","4,4","Kordian Piwowarski","Polska","Komedia obycz.",NA
"Galimatias, czyli kogel-mogel II","1989","1h 33m","7,1","Roman Załuski","Polska","Komedia obycz.","Top 1989 roku #21"
"Diablo. Wyścig o wszystko","2019","1h 34m","4,2","Michał Otłowski","Polska","Akcja",NA
"Green Book","2018","2h 10m","8,2","Peter Farrelly","USA","Dramat","Komedia"
"Underdog","2019","1h 56m","6,5","Maciej Kawulski","Polska","Dramat","Akcja"
"Ralph Demolka w internecie","2018","1h 52m","6,8","Rich Moore","USA","Animacja","Familijny"
"Zwierzęta","2017","1h 34m","6,3","Greg Zglinski","Polska","Thriller",NA
"Mój piękny syn","2018","2h","7,3","Felix Van Groeningen","USA","Biograficzny","Dramat"
"Paddington 2","2017","1h 43m","7,5","Paul King","Wielka Brytania","Familijny","Komedia"
"Mroczne umysły","2018","1h 45m","6,2","Jennifer Yuh Nelson","USA","Thriller","Sci-Fi"
"Paddington","2014","1h 35m","6,9","Paul King","Francja","Familijny","Komedia"
"Nie zostawiaj śladów","2018","1h 48m","6,6","Debra Granik","USA","Dramat","Top 2018 roku #97"
"Mowgli: Legenda dżungli","2018","1h 44m","6,3","Andy Serkis","USA","Przygodowy",NA
"Płomienie","2018","2h 28m","7,0","Chang-dong Lee","Korea Południowa","Dramat",NA
"Oni","2018","2h 31m","6,3","Paolo Sorrentino","Włochy","Biograficzny","Dramat"
"I że ci nie odpuszczę","2018","1h 52m","6,5","Rob Greenberg","USA","Komedia rom.","Top 2018 roku #93"
"Spider-Man Uniwersum","2018","1h 57m","8,0","Bob Persichetti","USA","Animacja","Akcja"
"Aquaman","2018","2h 23m","6,6","James Wan","USA","Akcja","Sci-Fi"
"Roma","2018","2h 15m","7,0","Alfonso Cuarón","Meksyk","Dramat","Filmweb poleca"
"Na głęboką wodę","2018","1h 41m","6,0","James Marsh","Wielka Brytania","Biograficzny","Dramat"
"Grinch","2018","1h 30m","6,7","Yarrow Cheney","USA","Animacja","Familijny"
"Over the Limit","2017","1h 14m","7,4","Marta Prus","Polska","Dokumentalny","Sportowy"
"Fuga","2018","1h 40m","6,5","Agnieszka Smoczyńska","Polska","Thriller","Psychologiczny"
"Kraina wielkiego nieba","2018","1h 44m","6,6","Paul Dano","USA","Dramat","Romans"
"Narodziny gwiazdy","2018","2h 15m","7,4","Bradley Cooper","USA","Dramat","Muzyczny"
"Creed II","2018","2h 10m","7,0","Steven Caple Jr.","USA","Dramat","Sportowy"
"Miłość jest wszystkim","2018","2h 10m","5,4","Michał Kwieciński","Polska","Komedia","Świąteczny"
"Fantastyczne zwierzęta: Zbrodnie Grindelwalda","2018","2h 14m","6,5","David Yates","USA","Familijny","Fantasy"
"Planeta Singli 2","2018","1h 59m","6,4","Sam Akina","Polska","Komedia rom.","Świąteczny"
"Planeta Singli","2016","2h 16m","7,0","Mitja Okorn","Polska","Komedia rom.","Top 2016 roku #50"
"Suspiria","2018","2h 32m","6,5","Luca Guadagnino","USA","Horror","Filmweb poleca"
"Halloween","2018","1h 49m","5,8","David Gordon Green","USA","Horror",NA
"Bohemian Rhapsody","2018","2h 14m","7,9","Bryan Singer","USA","Biograficzny","Dramat"
"Utoya, 22 lipca","2018","1h 30m","6,2","Erik Poppe","Norwegia","Dramat",NA
"Winni","2018","1h 25m","7,0","Gustav Möller","Dania","Thriller","Top 2018 roku #46"
"Wieś pływających krów","2017","1h 18m","6,8","Katarzyna Trzaska","Polska","Dokumentalny",NA
"Złe wychowanie Cameron Post","2018","1h 30m","6,4","Desiree Akhavan","USA","Dramat",NA
"Pierwszy człowiek","2018","2h 21m","7,2","Damien Chazelle","USA","Biograficzny","Dramat"
"Źle się dzieje w El Royale","2018","2h 21m","7,0","Drew Goddard","USA","Thriller","Top 2018 roku #25"
"Ant-Man i Osa","2018","1h 58m","6,8","Peyton Reed","USA","Akcja","Sci-Fi"
"Venom","2018","1h 52m","6,8","Ruben Fleischer","USA","Akcja","Sci-Fi"
"Serce nie sługa","2018","1h 30m","6,1","Filip Zylber","Polska","Komedia rom.",NA
"Cicha noc","2017","1h 37m","7,3","Piotr Domalewski","Polska","Dramat","Komedia"
"Wilkołak","2018","1h 28m","6,1","Adrian Panek","Polska","Dramat","Horror"
"Jeszcze dzień życia","2018","1h 25m","7,3","Damian Nenow","Polska","Dokumentalny","Animacja dla dorosłych"
"Kamerdyner","2018","2h 21m","6,5","Filip Bajon","Polska","Dramat historyczny","Top 2018 roku #90"
"Zabawa zabawa","2018","1h 28m","6,6","Kinga Dębska","Polska","Dramat","Komedia"
"Krew Boga","2018","1h 40m","5,3","Bartosz Konopka","Polska","Historyczny",NA
"Eter","2018","1h 57m","5,4","Krzysztof Zanussi","Polska","Dramat historyczny",NA
"Dziura w głowie","2018","1h 33m","6,3","Piotr Subbotko","Polska","Dramat",NA
"Kler","2018","2h 13m","7,0","Wojciech Smarzowski","Polska","Obyczajowy","Top 2018 roku #21"
"Jak pies z kotem","2018","1h 42m","6,8","Janusz Kondratiuk","Polska","Dramat","Komedia"
"7 uczuć","2018","1h 56m","6,6","","","Dramat","Komedia"
"Predator","2018","1h 47m","5,0","Shane Black","","Akcja","Sci-Fi"
"Fokstrot","2017","1h 53m","7,1","Samuel Maoz","","Dramat",NA
"Juliusz","2018","1h 37m","6,2","Aleksander Pietrzak","","Komedia",NA
"Czarne bractwo. BlacKkKlansman","2018","2h 8m","6,9","","","Biograficzny","Dramat"
"Bajecznie bogaci Azjaci","2018","2h","6,3","","","Komedia",NA
"The Meg","2018","1h 53m","5,3","","","Horror","Akcja"
"Dywizjon 303. Historia prawdziwa","2018","1h 39m","6,6","","","Dramat","Wojenny"
"Też go kocham","2018","1h 45m","6,1","","","Komedia rom.",NA
"303. Bitwa o Anglię","2018","1h 45m","5,4","David Blair","","Dramat","Wojenny"
"Do wszystkich chłopców, których kochałam","2018","1h 39m","6,8","Susan Johnson","","Romans","Dla młodzieży"
"Slender Man","2018","1h 33m","3,5","","","Horror",NA
"Krzysiu, gdzie jesteś?","2018","1h 44m","7,5","","","Familijny","Top 2018 roku #12"
"Szpieg, który mnie rzucił","2018","1h 56m","6,0","","","Komedia","Akcja"
"Kobieta na skraju dojrzałości","2011","1h 34m","5,9","","","Dramat","Komedia"
"Searching","2018","1h 42m","6,8","","","Thriller","Top 2018 roku #54"
"Młodzi Tytani: Akcja! Film","2018","1h 32m","6,2","","","Animacja","Komedia"
"Mission: Impossible - Fallout","2018","2h 27m","7,0","","","Sensacyjny","Filmweb poleca"
"Człowiek, który zabił Don Kichota","2018","2h 12m","6,2","","","Komedia","Przygodowy"
"Nasza młodsza siostra","2015","2h 8m","7,3","","","Dramat",NA
"Monument","2018","1h 48m","6,2","","","Dramat","Filmweb poleca"
"Madeline i Madeline","2018","1h 33m","6,2","Josephine Decker","USA","Dramat","Thriller"
"Trzy twarze","2018","1h 40m","6,4","","","Dramat",NA
"Złodziejaszki","2018","2h 1m","7,5","","","Dramat","Filmweb poleca"
"Climax","2018","1h 30m","7,0","","","Dramat","Top 2018 roku #32"
"The World Is Yours","2018","1h 40m","5,7","","","Komedia kryminalna",NA
"Moja polska dziewczyna","2018","1h 33m","4,5","","","Dramat",NA
"Dom, który zbudował Jack","2018","2h 35m","6,6","Lars von Trier","","Dramat","Kryminał"
"Córka trenera","2018","1h 33m","6,0","","","Dramat",NA
"Nina","2018","2h 10m","5,7","Olga Chajdas","","Dramat",NA
"Atlas zła","2018","1h 57m","4,4","Yannis Veslemes","Nowa Zelandia","Horror",NA
"Dogman","2018","1h 42m","6,7","","","Dramat","Kryminał"
"Autsajder","2018","1h 33m","5,9","","","Dramat",NA
"Mamma Mia! Here We Go Again","2018","1h 56m","6,8","","","Komedia","Musical"
"Pierwsza noc oczyszczenia","2018","1h 40m","5,2","","","Thriller","Sci-Fi"
"Users","2018","29m","6,0","Jakub Piątek","Polska","Krótkometrażowy",NA
"Na plaży Chesil","2017","1h 45m","6,0","","","Melodramat",NA
"Sicario 2: Soldado","2018","2h 2m","6,9","","","Thriller","Akcja"
"Drapacz chmur","2018","1h 42m","5,6","","","Akcja",NA
"Blok 99","2017","2h 12m","6,6","S. Craig Zahler","USA","Kryminał","Thriller"
"Iniemamocni","2004","1h 55m","7,0","Brad Bird","USA","Animacja","Familijny"
"Iniemamocni 2","2018","1h 58m","7,4","Brad Bird","USA","Animacja","Przygodowy"
"Berek","2018","1h 40m","6,4","Jeff Tomsic","USA","Komedia","Top 2018 roku #100"
"Heimat","2017","25m","5,9","Emi Buchwald","Polska","Dramat","Krótkometrażowy"
"Jestem taka piękna!","2018","1h 50m","6,1","Abby Kohn","USA","Komedia",NA
"Odnajdę cię","2018","1h 23m","4,8","Beata Dzianowicz","Polska","Sensacyjny","Thriller"
"Ocean's 8","2018","1h 50m","6,4","Gary Ross","USA","Komedia kryminalna",NA
"53 wojny","2018","1h 22m","6,0","Ewa Bukowska","Polska","Dramat",NA
"Dzień czekolady","2018","1h 26m","5,1","Jacek Piotr Bławut","Polska","Familijny","Przygodowy"
"Atlas","2017","28m","7,5","Maciej Kawalski","Polska","Dramat","Krótkometrażowy"
"Catalina","2017","1h 38m","5,2","Denijal Hasanovic","Polska","Dramat",NA
"Dziedzictwo. Hereditary","2018","2h 6m","6,6","Ari Aster","USA","Dramat","Horror"
"Twój Simon","2018","1h 49m","7,1","Greg Berlanti","USA","Dramat","Top 2018 roku #26"
"Jurassic World: Upadłe królestwo","2018","2h 8m","6,0","J.A. Bayona","USA","Przygodowy","Sci-Fi"
"Żywiciel","2017","1h 34m","7,8","Nora Twomey","Irlandia","Animacja","Dramat"
"Przebudzenie dusz","2017","1h 38m","6,1","Jeremy Dyson","Wielka Brytania","Horror",NA
"Zimna wojna","2018","1h 28m","7,6","Paweł Pawlikowski","Polska","Melodramat","Filmweb poleca"
"Han Solo: Gwiezdne wojny - historie","2018","2h 15m","6,7","Ron Howard","USA","Przygodowy","Sci-Fi"
"451° Fahrenheita","2018","1h 40m","5,0","Ramin Bahrani","USA","Dramat","Sci-Fi"
"Ładunek","2017","1h 45m","6,0","Ben Howling","Australia","Thriller",NA
"Wonderstruck","2017","1h 57m","5,7","Todd Haynes","USA","Dramat",NA
"Prawdziwa historia","2017","1h 50m","5,8","Roman Polański","Francja","Thriller","Psychologiczny"
"Deadpool","2016","1h 48m","7,6","Tim Miller","USA","Komedia","Akcja"
"Deadpool 2","2018","1h 59m","7,5","David Leitch","USA","Komedia","Akcja"
"The Clapper","2017","1h 29m","4,7","Dito Montiel","USA","Komedia",NA
"Tully","2018","1h 36m","6,8","Jason Reitman","USA","Dramat","Komedia"
"Ghostland","2018","1h 31m","6,5","Pascal Laugier","Kanada","Horror","Top 2018 roku #94"
"Rampage: Dzika furia","2018","1h 47m","5,9","Brad Peyton","USA","Fantasy","Akcja"
"Zemsta","2017","1h 48m","5,8","Coralie Fargeat","Francja","Thriller","Akcja"
"Śmierć Stalina","2017","1h 46m","6,8","Armando Iannucci","Francja","Biograficzny","Dramat"
"Mój przyjaciel morderca","2017","1h 47m","6,0","Marc Meyers","USA","Biograficzny","Dramat"
"Moje dni z Mercy","2017","1h 43m","6,4","Tali Shalom-Ezer","USA","Melodramat",NA
"Anchor and Hope","2017","1h 51m","6,0","Carlos Marqués-Marcet","Hiszpania","Komedia",NA
"Proza życia","2017","1h 41m","6,2","Mike White","USA","Dramat","Komedia"
"Avengers: Wojna bez granic","2018","2h 29m","8,1","Anthony Russo","USA","Akcja","Sci-Fi"
"Strażnicy cnoty","2018","1h 42m","5,9","Kay Cannon","USA","Komedia","Dla młodzieży"
"Dziewczyna we mgle","2017","2h 8m","6,9","Donato Carrisi","Włochy","Kryminał","Thriller"
"Prawda czy wyzwanie","2018","1h 38m","5,4","Jeff Wadlow","USA","Horror",NA
"Huragan","2018","1h 43m","4,9","Rob Cohen","USA","Akcja","Katastroficzny"
"Thelma","2017","1h 56m","6,5","Joachim Trier","Norwegia","Dramat","Fantasy"
"Życzenie śmierci","2018","1h 48m","6,4","Eli Roth","USA","Sensacyjny",NA
"Wyspa psów","2018","1h 41m","7,7","Wes Anderson","USA","Animacja","Komedia"
"Studniówk@","2018","1h 24m","2,6","Alessandro Leone","Polska","Komedia",NA
"Pitbull. Ostatni pies","2018","2h 4m","6,5","Władysław Pasikowski","Polska","Sensacyjny","Top 2018 roku #73"
"Ciche miejsce","2018","1h 30m","6,6","John Krasinski","USA","Horror","Sci-Fi"
"Twarz","2017","1h 31m","5,9","Małgorzata Szumowska","Polska","Dramat",NA
"Lara Croft: Tomb Raider","2001","1h 40m","6,4","Simon West","USA","Przygodowy","Top 2001 roku #96"
"Tomb Raider","2018","1h 58m","6,0","Roar Uthaug","USA","Przygodowy",NA
"Wieża. Jasny dzień","2017","1h 46m","6,6","Jagoda Szelc","Polska","Thriller","Psychologiczny"
"Pacific Rim: Rebelia","2018","1h 51m","5,6","Steven S. DeKnight","USA","Akcja","Sci-Fi"
"Wieczór gier","2018","1h 40m","6,4","John Francis Daley","USA","Komedia","Top 2018 roku #85"
"Nigdy cię tu nie było","2017","1h 25m","6,3","Lynne Ramsay","USA","Dramat","Thriller"
"Każdego dnia","2018","1h 35m","6,4","Michael Sucsy","USA","Romans",NA
"Nie jestem czarownicą","2017","1h 30m","6,6","Rungano Nyoni","Wielka Brytania","Dramat",NA
"Kobieta sukcesu","2018","1h 45m","5,5","Robert Wichrowski","Polska","Komedia rom.",NA
"Czarna Pantera","2018","2h 14m","6,7","Ryan Coogler","USA","Akcja","Sci-Fi"
"Kobiety mafii","2018","2h 18m","5,0","Patryk Vega","Polska","Sensacyjny",NA
"Czwarta władza","2017","1h 55m","6,6","Steven Spielberg","USA","Dramat","Polityczny"
"Jestem najlepsza. Ja, Tonya","2017","1h 59m","7,4","Craig Gillespie","USA","Biograficzny","Dramat"
"Nowe oblicze Greya","2018","1h 45m","5,4","James Foley","USA","Melodramat",NA
"Paradoks Cloverfield","2018","1h 42m","5,3","Julius Onah","USA","Sci-Fi",NA
"Czas mroku","2017","2h 5m","7,0","Joe Wright","Wielka Brytania","Biograficzny","Dramat"
"Wszystkie pieniądze świata","2017","2h 12m","6,5","Ridley Scott","USA","Kryminał","Top 2017 roku #98"
"Plan B","2018","1h 25m","6,1","Kinga Dębska","Polska","Dramat","Komedia"
"Nić widmo","2017","2h 10m","7,0","Paul Thomas Anderson","USA","Dramat","Filmweb poleca"
"Kształt wody","2017","1h 59m","6,4","Guillermo del Toro","USA","Fantasy","Filmweb poleca"
"The Disaster Artist","2017","1h 43m","7,3","James Franco","USA","Biograficzny","Dramat"
"The Room","2003","1h 39m","2,9","Tommy Wiseau","USA","Melodramat",NA
"Więzień labiryntu: Lek na śmierć","2018","2h 22m","6,6","Wes Ball","USA","Thriller","Akcja"
"Lady Bird","2017","1h 33m","6,7","Greta Gerwig","USA","Dramat","Komedia"
"Podatek od miłości","2018","1h 41m","6,1","Bartłomiej Ignaciuk","Polska","Komedia rom.",NA
"DJ","2017","1h 36m","6,3","Alek Kort","Polska","Dramat","Muzyczny"
"Escape Room","2017","1h 21m","3,8","Will Wernick","USA","Horror",NA
"Mudbound","2017","2h 14m","7,4","Dee Rees","USA","Dramat","Top 2017 roku #31"
"Trzy billboardy za Ebbing, Missouri","2017","1h 55m","7,9","Martin McDonagh","USA","Dramat","Filmweb poleca"
"Jim i Andy","2017","1h 34m","7,6","Chris Smith","","Dokumentalny",NA
"Tamte dni, tamte noce","2017","2h 12m","7,6","Luca Guadagnino","Włochy","Melodramat","Filmweb poleca"
"Good Time","2017","1h 40m","7,0","Benny Safdie","USA","Dramat","Kryminał"
"Outsiderka","2016","1h 55m","5,2","Ana Lily Amirpour","USA","Dramat",NA
"M jak morderca","2017","1h 38m","5,3","Johnny Martin","USA","Kryminał","Thriller"
"Gra o wszystko","2017","2h 20m","7,2","Aaron Sorkin","USA","Biograficzny","Dramat"
"Tour de doping","2017","39m","6,7","Jake Szymanski","USA","Komedia","Dokumentalizowany"
"I tak cię kocham","2017","1h 59m","6,7","Michael Showalter","USA","Komedia rom.","Top 2017 roku #71"
"Cudowny chłopak","2017","1h 53m","7,7","Stephen Chbosky","USA","Dramat","Komedia"
"Ostra noc","2017","1h 41m","5,3","Lucia Aniello","USA","Komedia",NA
"Jak dogryźć mafii","2017","1h 34m","5,3","Mark Cullen","USA","Komedia","Akcja"
"Linia życia","2017","1h 50m","5,7","Niels Arden Oplev","USA","Horror","Sci-Fi"
"Król rozrywki","2017","1h 45m","7,6","Michael Gracey","USA","Biograficzny","Musical"
"Gotowi na wszystko. Exterminator","2017","1h 57m","6,6","Michał Rogalski","Polska","Komedia","Top 2017 roku #85"
"The Circle. Krąg","2017","1h 50m","5,4","James Ponsoldt","USA","Thriller","Sci-Fi"
"Wojna płci","2017","2h 1m","6,1","Jonathan Dayton","USA","Biograficzny","Komedia"
"xXx: Reaktywacja","2017","1h 47m","5,7","D.J. Caruso","USA","Akcja",NA
"Pakt krwi","2017","1h 33m","3,8","Steven C. Miller","USA","Sensacyjny","Thriller"
"Rings","2017","1h 42m","4,7","F. Javier Gutiérrez","USA","Horror",NA
"Holiday","2006","2h 18m","7,2","Nancy Meyers","USA","Komedia rom.","Świąteczny"
"Dom wygranych","2017","1h 28m","5,6","Andrew Jay Cohen","USA","Komedia",NA
"Na karuzeli życia","2017","1h 41m","5,9","Woody Allen","USA","Dramat",NA
"Totem","2017","2h 4m","2,8","Jakub Charon","Polska","Sensacyjny",NA
"Zabicie świętego jelenia","2017","2h 1m","6,5","Yórgos Lánthimos","Wielka Brytania","Thriller","Top 2017 roku #94"
"The Florida Project","2017","1h 55m","7,1","Sean Baker","USA","Dramat","Filmweb poleca"
"Cipka","2015","8m","6,4","Renata Gąsiorowska","Polska","Krótkometrażowy","Animacja dla dorosłych"
"Kraina Lodu. Przygoda Olafa","2017","21m","6,5","Kevin Deters","Animacje Disneya","Animacja","Przygodowy"
"Coco","2017","1h 45m","8,3","Lee Unkrich","USA","Animacja","Familijny"
"Twój Vincent","2017","1h 35m","7,9","DK Welchman","Polska","Animacja","Dramat"
"Liga Sprawiedliwości","2017","2h","5,9","Zack Snyder","USA","Akcja","Sci-Fi"
"mother!","2017","2h 1m","6,2","Darren Aronofsky","USA","Horror","Psychologiczny"
"Listy do M. 3","2017","1h 50m","6,1","Tomasz Konecki","Polska","Komedia rom.","Świąteczny"
"Olli Mäki. Najszczęśliwszy dzień jego życia","2016","1h 32m","6,7","Juho Kuosmanen","Finlandia","Biograficzny","Melodramat"
"Śmierć nadejdzie dziś","2017","1h 36m","6,3","Christopher Landon","USA","Horror","Komedia"
"Piła: Dziedzictwo","2017","1h 31m","5,7","Michael Spierig","USA","Horror",NA
"Thor: Ragnarok","2017","2h 10m","7,7","Taika Waititi","USA","Fantasy","Przygodowy"
"Ach śpij kochanie","2017","1h 40m","5,8","Krzysztof Lang","Polska","Thriller","Kryminał"
"Jeszcze nie koniec","2017","1h 33m","7,1","Xavier Legrand","Francja","Dramat",NA
"Córki Abril","2017","1h 33m","5,8","Michel Franco","Meksyk","Dramat",NA
"Maelström","2000","1h 28m","6,4","Denis Villeneuve","Kanada","Dramat",NA
"Borg/McEnroe. Między odwagą a szaleństwem","2017","1h 40m","7,1","Janus Metz","Szwecja","Biograficzny","Dramat"
"Kobiety i XX wiek","2016","1h 58m","7,2","Mike Mills","USA","Dramat","Komedia"
"Pogorzelisko","2010","2h 10m","8,1","Denis Villeneuve","Kanada","Dramat","Wojenny"
"Wróg","2013","1h 30m","6,2","Denis Villeneuve","Hiszpania","Thriller",NA
"Geostorm","2017","1h 49m","5,5","Dean Devlin","USA","Sci-Fi","Katastroficzny"
"Krucyfiks","2017","1h 30m","4,9","Xavier Gens","Rumunia","Horror",NA
"Pierwszy śnieg","2017","1h 59m","5,4","Tomas Alfredson","Wielka Brytania","Kryminał",NA
"Emotki. Film","2017","1h 26m","4,9","Tony Leondis","USA","Animacja","Komedia"
"My Little Pony. Film","2017","1h 39m","6,6","Jayson Thiessen","USA","Animacja","Komedia"
"Blade Runner 2049","2017","2h 43m","7,5","Denis Villeneuve","USA","Thriller","Sci-Fi"
"Kingsman: Złoty Krąg","2017","2h 21m","6,8","Matthew Vaughn","Wielka Brytania","Akcja","Komedia kryminalna"
"The Square","2017","2h 22m","6,9","Ruben Östlund","Szwecja","Komedia","Filmweb poleca"
"LEGO® NINJAGO: FILM","2017","1h 40m","6,1","Charlie Bean","USA","Animacja","Komedia"
"Pitbull. Niebezpieczne kobiety","2016","2h 15m","6,4","Patryk Vega","Polska","Dramat","Sensacyjny"
"Czuwaj","2017","1h 30m","5,2","Robert Gliński","Polska","Thriller",NA
"Pomiędzy słowami","2017","1h 25m","6,4","Urszula Antoniak","Polska","Dramat",NA
"Reakcja łańcuchowa","2017","1h 18m","4,1","Jakub Pączek","Polska","Dramat",NA
"Tarapaty","2017","1h 23m","5,7","Marta Karwowska","Polska","Familijny","Przygodowy"
"Atak paniki","2017","1h 40m","5,9","Paweł Maślona","Polska","Dramat","Komedia"
"Najlepszy","2017","1h 50m","8,0","Łukasz Palkowski","Polska","Biograficzny","Obyczajowy"
"Człowiek z magicznym pudełkiem","2017","1h 43m","5,9","Bodo Kox","Polska","Romans","Sci-Fi"
"Zgoda","2017","1h 27m","5,8","Maciej Sobieszczański","Polska","Dramat","Wojenny"
"Dzikie róże","2017","1h 30m","6,3","Anna Jadowska","Polska","Dramat",NA
"Więzień labiryntu","2014","1h 53m","7,0","Wes Ball","USA","Thriller","Akcja"
"American Assassin","2017","1h 51m","6,5","Michael Cuesta","USA","Thriller","Akcja"
"Tulipanowa gorączka","2017","1h 45m","6,3","Justin Chadwick","Wielka Brytania","Kostiumowy","Melodramat"
"Ptaki śpiewają w Kigali","2017","1h 53m","5,5","Krzysztof Krauze","Polska","Dramat",NA
"Głupi i głupszy","1994","1h 46m","6,1","Bobby Farrelly","USA","Komedia","Top 1994 roku #56"
"Na układy nie ma rady","2017","1h 29m","7,3","Christoph Rurka","Polska","Komedia obycz.","Top 2017 roku #28"
"Druhny","2011","2h 5m","5,8","Paul Feig","USA","Komedia rom.","Filmweb poleca"
"Green Lantern","2011","1h 54m","5,6","Martin Campbell","USA","Akcja","Sci-Fi"
"To","2017","2h 15m","6,7","Andy Muschietti","USA","Horror","Top 2017 roku #65"
"Notatnik śmierci","2017","1h 41m","4,4","Adam Wingard","USA","Fantasy","Thriller"
"Na pokuszenie","2017","1h 31m","5,8","Sofia Coppola","USA","Dramat",NA
"Małe zło","2017","1h 34m","5,3","Eli Craig","USA","Horror","Komedia"
"Adventureland","2009","1h 47m","6,3","Greg Mottola","USA","Dramat","Komedia"
"Bone Tomahawk","2015","2h 12m","6,5","S. Craig Zahler","USA","Horror","Western"
"Photon","2017","1h 47m","7,5","Norman Leto","Polska","Dramat","Sci-Fi"
"Barry Seal: Król przemytu","2017","1h 55m","7,0","Doug Liman","USA","Biograficzny","Dramat"
"Obdarowani","2017","1h 41m","7,8","Marc Webb","USA","Dramat","Najlepsze filmy #243"
"Bodyguard Zawodowiec","2017","1h 58m","7,2","Patrick Hughes","USA","Komedia","Akcja"
"Obecność","2013","1h 52m","7,4","James Wan","USA","Horror","Top 2013 roku #17"
"XX","2017","1h 20m","4,4","Sofìa Carrillo","USA","Horror",NA
